"ONGOING LIST OF BUSINESSES SUPPORTING THE FRIDAY, JANUARY 23 GENERAL STRIKE",
383,"Gus Gus - St. Paul, MN"
384,"Guthrie Theater (closed to public until 5pm, performance of ""Somewhere"" is not cancelled) - Minneapolis, MN"
385,"Gypsy Moon - Minneapolis, MN"
386,"H & B Gallery - Minneapolis, MN"
387,"Haggard Barrel - St. Louis Park, MN"
388,"Hai Hai - Minneapolis, MN"
389,"Hail Mary Piercing - St. Paul, MN"
390,"Half Price Books (closing all Minnesota Stores) - Apple Valley, MN"
391,"Half Price Books (closing all Minnesota Stores) - Coon Rapids, MN"
392,"Half Price Books (closing all Minnesota Stores) - Maplewood, MN"
393,"Half Price Books (closing all Minnesota Stores) - Roseville, MN"
394,"Half Price Books (closing all Minnesota Stores) - St. Louis Park, MN"
395,"Half Price Books (closing all Minnesota Stores) - St. Paul, MN"
396,"Hampden Park Co-op - St. Paul, MN"
397,"Harmony - Minneapolis, MN"
398,"Harriet and Alice - Edina, MN"
399,"Harriet Grove Botanicals - Minneapolis, MN"
400,"Hazel & Rose - Minneapolis, MN"
401,"Hazel's Northeast - Minneapolis, MN"
402,"Headflyer Brewing - Minneapolis, MN"
403,Healing Project of MN 
404,"HealthFinders Collaborative - Faribault, MN"
405,"Heart Berry Co. - Minneapolis, MN"
406,"Heather's - Minneapolis, MN"
407,"Hebivorous Butcher - Minneapolis, MN"
408,"Heights Coffee Bar - Columbia Heights, MN"
409,"Henry & Son - Minneapolis, MN"
410,"Herbst - Saint Paul, MN"
411,"Hey Y'all Tipsy Taco Bar - Minneapolis, MN"
412,"Hi-Lo Diner - Minneapolis, MN"
413,"Hidden World Vinyl Records - Rochester, MN"
414,"Hideaway, Champlin - Champlin, MN"
415,"Hideaway, Coon Rapids - Coon Rapids, MN"
416,"Hideaway, Dinkytown - Minneapolis, MN"
417,"Hideaway, Duluth - Duluth, MN"
418,"Hideaway, Eau Claire - Eau Claire, MN"
419,"Hideaway, Hudson - Hudson, WI"
420,"Hideaway, Mall of America - Minneapolis, MN"
421,"Hideaway, Mankato - Mankato, MN"
422,"Hideaway, Menomonie - Menomonie, WI"
423,"Hideaway, North St. Paul - Oakdale, MN"
424,"Hideaway, Oakdale - Oakdale, MN"
425,"Hideaway, South Metro - Minneapolis, MN"
426,"Hideway, St. Cloud - St. Cloud, MN"
427,"Highland Tattoo - St. Paul, MN"
428,"Highpoint Prints - Minneapolis, MN"
429,"Hjem (Closing early) - Minneapolis, MN"
430,"HmongTown Marketplace - St. Paul, MN"
431,"Hola Arepa - Minneapolis, MN"
432,"Hola Coffee - Minneapolis, MN"
433,"Hold the Wheat - St. Louis Park, MN"
434,"Homeschooled Pooch - West Duluth, MN"
435,Honey and Rye Bakehouse - St. Louis Park
436,"Honour Coffee (100% of profits of the day to communtiy aid efforts) - Minneapolis, MN"
437,"Hortensia PLLC - Minneapolis, MN"
438,"Hot Hands Pie & Biscuit - St. Paul, MN"
439,"Hour Rose Salon - Minneapolis, MN"
440,"Hucklebeary - Duluth, MN"
441,"Hum's Liquor - Minneapolis, MN"
442,"Hunt and Gather - Minneapolis, MN"
443,"Hyacinth - St. Paul, MN"
444,"I Like You, Minneapolis - Minneapolis, MN"
445,"I Like You, St. Paul - St. Paul, MN"
446,"Iconos Gastro Cantina - Minneapolis, MN"
447,"Ignite Models - Minneapolis, MN"
448,"Indeed Brewing (open at 5p, donate 100% of the profits to Immigrant Law Center of Minnesota) - Minneapolis, MN"
449,"Ingebretsen's Nordic Marketplace - Minneapolis, MN"
450,"Inkwell Booksellers - Minneapolis, MN"
451,"Insight Brewing - Minneapolis, MN"
452,"Integrity First Tax Services - Minneapolis, MN"
453,"International Elite Gymnastics - St. Paul, MN"
454,"Irreverent Bookworm - Minneapolis, MN"
455,"ISAIAH (office closed) - St. Paul, MN"
456,"Isle Bun & Coffee - Minneapolis, MN"
457,"J. Selby's - St. Paul, MN"
458,James & Mary Laurie Booksellers - MN
459,"James Irving Salon - Minneapolis, MN"
460,"Jasmine Thai - Columbia Heights, MN"
461,"Java Moose - Grand Marais, MN"
462,"Jenny in the City - St. Paul, MN"
463,"Jetset Underground - Minneapolis, MN"
464,"JetTip - Burnsville, MN"
465,"Jook Sing pop-up - Minneapolis, MN"
466,"JS Bean Factory - St. Paul, MN"
467,"Juice Pharm - Duluth, MN"
468,"Keys Cafe & Pub, Downtown St. Paul - St. Paul, MN"
469,"Khaluna - Minneapolis,"
470,"Kharta Thai - Roseville, MN"
471,"King of the Wing - Champlin, MN"
472,"Kinoko Kids - Minneapolis, MN"
473,"Klass - Minneapolis, MN"
474,"Knic Knackery - Buffalo, MN"
475,Knit & Bolt fabric shop in Minneapolis (closed till 5:30 p.m.)
476,"Korppi Coffee & Bakeshop - St. Cloud, MN"
477,"Krown Bakery and Eatery - Anoka, MN"
478,"Kyatchi - Minneapolis, MN"
479,"L2 and Tii Cup - Minneapolis, MN"
480,"La Costa Mexican Sports Bar & Grill - St. Paul, MN"
481,"La Vaquita, 66th St. - Richfield, MN"
482,"La Vaquita, 77th St. - Richfield, MN"
483,"La Vaquita, Cedar Ave - Richfield, MN"
484,"Lacey Eidem Art Studio - Saint Joseph, MN"
485,"Lady Slippers - Deer River, MN"
486,"Lake Country Booksellers - White Bear Lake, MN"
487,"Lake State Mountaineering (Staying open, cash only, ""we do not support ICE"", post provides phone # for questions) - Minneapolis, MN"
488,"Lake Superior Art Glass (open. donate 10% of sales to Immigrant Law Center of MN) - Duluth, MN"
489,"Lakes Running Company - Excelsior, MN"
490,"Lakewinds Co-op, Chanhassen - Chanhassen, MN"
491,"Lakewinds Co-op, Minnetonka - Minnetonka, MN"
492,"Lakewinds Co-op, Richfield - Richfield, MN"
493,"Lat14 Asian Eatery - Golden Valley, MN"
494,"Laune Bread (free soup, free coffee 8am-1:30pm)  - Minneapolis, MN"
495,"Le Burger - Minneapolis, MN"
496,"Legacy Cannabis - Minneapolis, MN"
497,"Legacy Glassworks MN - Minneapolis, MN"
498,"Level Up Games - Hastings, MN"
499,"Level Up Games - Minneapolis, MN"
500,"Level Up Games - St. Paul, MN"
501,"Leviticus Tattoo and Body Piercing - Minneapolis, MN"
502,"Lift Garage - Minneapolis, MN"
503,"Liliana - Woodbury, MN"
504,"Linden Hills Bike Shop - Minneapolis, MN"
505,"Lito's Burritos - Minneapolis, MN"
506,"LITT Pinball Bar - Minneapolis, MN"
507,"Little Bird Delicatessen - Minneapolis, MN"
508,"Little Brazil - St. Paul, MN"
509,"Little Joy Coffee - Northfield, MN"
510,"Little Thistle Brewing - Rochester, MN"
511,"Little Tijuana - Minneapolis, MN"
512,"Lodestone Coffee and Games - Minnetonka, MN"
513,"Loft Literary Center - Minneapolis, MN"
514,"Loppet Foundation - Minneapolis, MN"
515,"Los Cactus - Columbia Heights, MN"
516,"Lost Fox - St. Paul, MN"
517,"Lost in the Forrest - St. Louis Park, MN"
518,"Lotus Restaurant (open for shelter, serving free pho to those in need 12-4pm)  - Minneapolis, MN"
519,"Love Creamery (open. free cups of ice cream, raising funds for Damiano Cente, Duluth  & Highland Elementary School in Columiba Heights), Canal Park - Duluth, MN"
520,"Love Creamery (open. free cups of ice cream, raising funds for Damiano Cente, Duluth  & Highland Elementary School in Columiba Heights), Lincoln Park - Duluth, MN"
521,"Lowbrow (open. donating 100% of profits to Immigrant Law Center of MN) - Minneapolis, MN"
522,"Lowry Hill Liquors - Minneapolis, MN"
523,"Lowry Hill Provisions - Minneapolis, MN"
524,"LTD Brewing - Hopkins, MN"
525,"Luminary Coffeehouse - St. Paul, MN"
526,"Lush - Minneapolis, MN"
527,"Lynette - Minneapolis, MN"
528,"MacKenzie Pub - Minneapolis, MN"
529,"Magers and Quinn - Minneapolis, MN"
530,"Main Cinema - Minneapolis, MN"
